L -130, 45, 51,  -130, 45, 51,  153, 153, 153
L -130, 45, 51,  -130, 45, 51,  153, 153, 153
L -130, 45, 51,  133, 47, 51,  153, 153, 153
L 133, 47, 51,  139, 66, 51,  153, 153, 153
L 139, 66, 51,  155, 92, 51,  153, 153, 153
L 155, 92, 51,  183, 113, 51,  153, 153, 153
L 183, 113, 51,  211, 128, 51,  153, 153, 153
L 211, 128, 51,  211, 128, 51,  153, 153, 153
L 211, 128, 51,  211, 627, 51,  153, 153, 153
L 211, 627, 51,  236, 629, 31,  153, 153, 153
L 236, 629, 31,  235, 690, 31,  153, 153, 153
L 235, 690, 31,  209, 691, 49,  153, 153, 153
L 209, 691, 49,  208, 919, 31,  153, 153, 153
L 208, 919, 31,  202, 921, 31,  153, 153, 153
L 202, 921, 31,  180, 930, 31,  153, 153, 153
L 180, 930, 31,  172, 934, 31,  153, 153, 153
L 172, 934, 31,  155, 948, 31,  153, 153, 153
L 155, 948, 31,  153, 952, 31,  153, 153, 153
L 153, 952, 31,  136, 981, 31,  153, 153, 153
L 136, 981, 31,  130, 998, 48,  153, 153, 153
L 130, 998, 48,  -80, 999, 48,  153, 153, 153
L -80, 999, 48,  -80, 1099, 49,  153, 153, 153
L -80, 1099, 49,  129, 1099, 49,  153, 153, 153
L 129, 1099, 49,  132, 1106, 46,  153, 153, 153
L 132, 1106, 46,  134, 1113, 31,  153, 153, 153
L 134, 1113, 31,  146, 1137, 31,  153, 153, 153
L 146, 1137, 31,  168, 1160, 31,  153, 153, 153
L 168, 1160, 31,  209, 1180, 49,  153, 153, 153
L 209, 1180, 49,  209, 1181, 49,  153, 153, 153
L 209, 1181, 49,  208, 1359, 47,  153, 153, 153
L 208, 1359, 47,  207, 1360, 45,  153, 153, 153
L 207, 1360, 45,  189, 1369, 31,  153, 153, 153
L 189, 1369, 31,  156, 1387, 31,  153, 153, 153
L 156, 1387, 31,  138, 1402, 31,  153, 153, 153
L 138, 1402, 31,  122, 1421, 31,  153, 153, 153
L 122, 1421, 31,  106, 1451, 31,  153, 153, 153
L 106, 1451, 31,  96, 1473, 31,  153, 153, 153
L 96, 1473, 31,  92, 1501, 49,  153, 153, 153
L 92, 1501, 49,  92, 1524, 49,  153, 153, 153
L 92, 1524, 49,  234, 1524, 200,  153, 153, 153
L 234, 1524, 200,  234, 1562, 203,  153, 153, 153
L 234, 1562, 203,  11, 1562, 171,  153, 153, 153
L 11, 1562, 171,  11, 1748, 171,  153, 153, 153
L 11, 1748, 171,  90, 1749, 171,  153, 153, 153
L 90, 1749, 171,  89, 1822, 71,  153, 153, 153
L 89, 1822, 71,  20, 1822, 71,  153, 153, 153
L 20, 1822, 71,  11, 1966, 91,  153, 153, 153
L 11, 1966, 91,  507, 1966, 91,  153, 153, 153
L 507, 1966, 91,  507, 1822, 71,  153, 153, 153
L 507, 1822, 71,  428, 1821, 71,  153, 153, 153
L 428, 1821, 71,  428, 1749, 171,  153, 153, 153
L 428, 1749, 171,  507, 1748, 171,  153, 153, 153
