L 15994, -634, -17,  15977, -637, -17,  153, 0, 0
L 15977, -637, -17,  15888, -646, -17,  153, 0, 0
L 15888, -646, -17,  15437, -232, 145,  153, 0, 0
L 15437, -232, 145,  15081, 117, -3,  153, 0, 0
L 15081, 117, -3,  14768, 424, -17,  153, 0, 0
L 14768, 424, -17,  14479, 726, 297,  153, 0, 0
L 14479, 726, 297,  14201, 998, 574,  153, 0, 0
L 14201, 998, 574,  14054, 1137, 589,  153, 0, 0
L 14054, 1137, 589,  13865, 1329, 400,  153, 0, 0
L 13865, 1329, 400,  13550, 1648, 30,  153, 0, 0
L 13550, 1648, 30,  13363, 1840, -13,  153, 0, 0
L 13363, 1840, -13,  13270, 1842, -17,  153, 0, 0
L 13270, 1842, -17,  13217, 1839, -17,  153, 0, 0
L 13217, 1839, -17,  12756, 1839, -17,  153, 0, 0
L 12756, 1839, -17,  12623, 1948, -17,  153, 0, 0
L 12623, 1948, -17,  12292, 2292, 472,  153, 0, 0
L 12292, 2292, 472,  11994, 2581, 176,  153, 0, 0
L 11994, 2581, 176,  11821, 2767, 79,  153, 0, 0
L 11821, 2767, 79,  11684, 2777, 362,  153, 0, 0
L 11684, 2777, 362,  11378, 2779, 670,  153, 0, 0
L 11378, 2779, 670,  11199, 2777, 699,  153, 0, 0
L 11199, 2777, 699,  11021, 2775, 601,  153, 0, 0
L 11021, 2775, 601,  10754, 2774, 306,  153, 0, 0
L 10754, 2774, 306,  10664, 2766, 340,  153, 0, 0
L 10664, 2766, 340,  10607, 2761, 401,  153, 0, 0
L 10607, 2761, 401,  10410, 2930, 341,  153, 0, 0
L 10410, 2930, 341,  10298, 3052, 374,  153, 0, 0
L 10298, 3052, 374,  10218, 3091, 387,  153, 0, 0
L 10218, 3091, 387,  10134, 3076, 383,  153, 0, 0
L 10134, 3076, 383,  9512, 3075, 347,  153, 0, 0
L 9512, 3075, 347,  9333, 3075, 168,  153, 0, 0
L 9333, 3075, 168,  8887, 3075, 168,  153, 0, 0
L 8887, 3075, 168,  8814, 3091, 155,  153, 0, 0
L 8814, 3091, 155,  8758, 3092, 159,  153, 0, 0
L 8758, 3092, 159,  8663, 3049, 210,  153, 0, 0
L 8663, 3049, 210,  8564, 2927, 340,  153, 0, 0
L 8564, 2927, 340,  8405, 2773, 195,  153, 0, 0
L 8405, 2773, 195,  8281, 2645, 302,  153, 0, 0
L 8281, 2645, 302,  7961, 2337, 403,  153, 0, 0
L 7961, 2337, 403,  7877, 2207, 289,  153, 0, 0
L 7877, 2207, 289,  7782, 2132, 183,  153, 0, 0
L 7782, 2132, 183,  7442, 2145, 202,  153, 0, 0
L 7442, 2145, 202,  7307, 2147, 204,  153, 0, 0
L 7307, 2147, 204,  7251, 2157, 219,  153, 0, 0
L 7251, 2157, 219,  7176, 2156, 218,  153, 0, 0
L 7176, 2156, 218,  7108, 2119, 165,  153, 0, 0
L 7108, 2119, 165,  7046, 2039, 46,  153, 0, 0
L 7046, 2039, 46,  6768, 1749, -7,  153, 0, 0
L 6768, 1749, -7,  6426, 1398, 317,  153, 0, 0
L 6426, 1398, 317,  6265, 1244, 378,  153, 0, 0
L 6265, 1244, 378,  6140, 1118, 275,  153, 0, 0
L 6140, 1118, 275,  5942, 927, 12,  153, 0, 0
L 5942, 927, 12,  5855, 906, -10,  153, 0, 0
L 5855, 906, -10,  5784, 916, -10,  153, 0, 0
L 5784, 916, -10,  5643, 911, 168,  153, 0, 0
L 5643, 911, 168,  4613, 904, 169,  153, 0, 0
L 4613, 904, 169,  4401, 902, 172,  153, 0, 0
L 4401, 902, 172,  4380, 755, 215,  153, 0, 0
L 4380, 755, 215,  4374, 635, 206,  153, 0, 0
L 4374, 635, 206,  4277, 498, 52,  153, 0, 0
L 4277, 498, 52,  3897, 123, -17,  153, 0, 0
L 3897, 123, -17,  3775, -7, -17,  153, 0, 0
L 3775, -7, -17,  3693, -22, -17,  153, 0, 0
L 3693, -22, -17,  3471, -8, -17,  153, 0, 0
L 3471, -8, -17,  2982, -7, -17,  153, 0, 0
L 2982, -7, -17,  2538, 0, -25,  153, 0, 0
L 2538, 0, -25,  2227, -5, -75,  153, 0, 0
L 2227, -5, -75,  2050, -5, -21,  153, 0, 0
L 2050, -5, -21,  1473, -10, -17,  153, 0, 0
L 1473, -10, -17,  983, -11, -48,  153, 0, 0
L 983, -11, -48,  559, -13, -48,  153, 0, 0
L 559, -13, -48,  284, 229, -48,  153, 0, 0
L 284, 229, -48,  -28, -38, -48,  153, 0, 0
L 12, 58, -35,  12, 58, -35,  153, 153, 153
L 12, 58, -35,  18, 63, -35,  153, 153, 153
L 18, 63, -35,  26, 70, -35,  153, 153, 153
L 26, 70, -35,  26, 70, -35,  153, 153, 153
L 26, 70, -35,  26, 70, -35,  153, 153, 153
L 26, 70, -35,  42, 84, -35,  153, 153, 153
L 42, 84, -35,  50, 90, -35,  153, 153, 153
L 50, 90, -35,  50, 90, -35,  153, 153, 153
L 50, 90, -35,  50, 90, -35,  153, 153, 153
L 50, 90, -35,  65, 103, -35,  153, 153, 153
L 65, 103, -35,  72, 110, -35,  153, 153, 153
L 72, 110, -35,  72, 110, -35,  153, 153, 153
L 72, 110, -35,  72, 110, -35,  153, 153, 153
L 72, 110, -35,  92, 127, -35,  153, 153, 153
L 92, 127, -35,  92, 127, -35,  153, 153, 153
L 92, 127, -35,  100, 133, -35,  153, 153, 153
L 100, 133, -35,  111, 143, -35,  153, 153, 153
L 111, 143, -35,  119, 150, -35,  153, 153, 153
L 119, 150, -35,  119, 150, -35,  153, 153, 153
L 119, 150, -35,  119, 150, -35,  153, 153, 153
L 119, 150, -35,  134, 163, -35,  153, 153, 153
L 134, 163, -35,  145, 172, -35,  153, 153, 153
L 145, 172, -35,  145, 172, -35,  153, 153, 153
L 145, 172, -35,  153, 179, -35,  153, 153, 153
L 153, 179, -35,  153, 179, -35,  153, 153, 153
L 153, 179, -35,  153, 179, -35,  153, 153, 153
L 153, 179, -35,  172, 196, -35,  153, 153, 153
L 172, 196, -35,  172, 196, -35,  153, 153, 153
L 172, 196, -35,  172, 196, -35,  153, 153, 153
L 172, 196, -35,  172, 196, -35,  153, 153, 153
L 172, 196, -35,  199, 219, -35,  153, 153, 153
L 199, 219, -35,  208, 227, -35,  153, 153, 153
L 208, 227, -35,  218, 235, -35,  153, 153, 153
L 218, 235, -35,  218, 235, -35,  153, 153, 153
L 218, 235, -35,  227, 243, -35,  153, 153, 153
L 227, 243, -35,  237, 251, -35,  153, 153, 153
L 237, 251, -35,  237, 251, -35,  153, 153, 153
L 237, 251, -35,  251, 263, -35,  153, 153, 153
L 251, 263, -35,  251, 263, -35,  153, 153, 153
L 251, 263, -35,  260, 271, -35,  153, 153, 153
L 260, 271, -35,  260, 271, -35,  153, 153, 153
L 260, 271, -35,  272, 282, -35,  153, 153, 153
L 272, 282, -35,  283, 290, -35,  153, 153, 153
L 283, 290, -35,  283, 290, -35,  153, 153, 153
L 283, 290, -35,  291, 288, -4,  153, 153, 153
L 291, 288, -4,  301, 283, 23,  153, 153, 153
L 301, 283, 23,  301, 283, 23,  153, 153, 153
L 301, 283, 23,  312, 276, 28,  153, 153, 153
L 312, 276, 28,  324, 269, 0,  153, 153, 153
L 324, 269, 0,  324, 269, 0,  153, 153, 153
L 324, 269, 0,  324, 269, 0,  153, 153, 153
L 324, 269, 0,  345, 256, -35,  153, 153, 153
L 345, 256, -35,  345, 256, -35,  153, 153, 153
L 345, 256, -35,  396, 228, -30,  153, 153, 153
L 396, 228, -30,  530, 36, -35,  153, 153, 153
L 530, 36, -35,  740, 28, -35,  153, 153, 153
L 740, 28, -35,  740, 28, -35,  153, 153, 153
L 740, 28, -35,  782, 29, -35,  153, 153, 153
L 782, 29, -35,  782, 29, -35,  153, 153, 153
L 782, 29, -35,  782, 29, -35,  153, 153, 153
L 782, 29, -35,  823, 29, -35,  153, 153, 153
L 823, 29, -35,  823, 29, -35,  153, 153, 153
L 823, 29, -35,  823, 29, -35,  153, 153, 153
L 823, 29, -35,  823, 29, -35,  153, 153, 153
L 823, 29, -35,  863, 29, -35,  153, 153, 153
L 863, 29, -35,  863, 29, -35,  153, 153, 153
L 863, 29, -35,  863, 29, -35,  153, 153, 153
L 863, 29, -35,  863, 29, -35,  153, 153, 153
L 863, 29, -35,  905, 29, -35,  153, 153, 153
L 905, 29, -35,  918, 30, -30,  153, 153, 153
L 918, 30, -30,  931, 33, -7,  153, 153, 153
L 931, 33, -7,  943, 38, 29,  153, 153, 153
L 943, 38, 29,  966, 47, 110,  153, 153, 153
L 966, 47, 110,  978, 53, 157,  153, 153, 153
L 978, 53, 157,  989, 59, 200,  153, 153, 153
L 989, 59, 200,  989, 59, 200,  153, 153, 153
L 989, 59, 200,  989, 59, 200,  153, 153, 153
L 989, 59, 200,  1016, 70, 297,  153, 153, 153
L 1016, 70, 297,  1027, 76, 356,  153, 153, 153
L 1027, 76, 356,  1038, 82, 419,  153, 153, 153
L 1038, 82, 419,  1049, 84, 442,  153, 153, 153
L 1049, 84, 442,  1060, 85, 465,  153, 153, 153
L 1060, 85, 465,  1072, 87, 488,  153, 153, 153
L 1072, 87, 488,  1085, 88, 508,  153, 153, 153
L 1085, 88, 508,  1096, 90, 523,  153, 153, 153
L 1096, 90, 523,  1096, 90, 523,  153, 153, 153
L 1096, 90, 523,  1096, 90, 523,  153, 153, 153
L 1096, 90, 523,  1132, 95, 565,  153, 153, 153
L 1132, 95, 565,  1132, 95, 565,  153, 153, 153
L 1132, 95, 565,  1145, 96, 575,  153, 153, 153
L 1145, 96, 575,  1156, 98, 584,  153, 153, 153
L 1156, 98, 584,  1168, 99, 573,  153, 153, 153
L 1168, 99, 573,  1168, 99, 573,  153, 153, 153
L 1168, 99, 573,  1178, 101, 549,  153, 153, 153
L 1178, 101, 549,  1190, 102, 522,  153, 153, 153
L 1190, 102, 522,  1190, 102, 522,  153, 153, 153
L 1190, 102, 522,  1205, 104, 487,  153, 153, 153
L 1205, 104, 487,  1205, 104, 487,  153, 153, 153
L 1205, 104, 487,  1205, 104, 487,  153, 153, 153
L 1205, 104, 487,  1233, 118, 482,  153, 153, 153
L 1233, 118, 482,  1241, 128, 536,  153, 153, 153
L 1241, 128, 536,  1247, 140, 538,  153, 153, 153
L 1247, 140, 538,  1247, 140, 538,  153, 153, 153
L 1247, 140, 538,  1247, 140, 538,  153, 153, 153
L 1247, 140, 538,  1254, 161, 517,  153, 153, 153
L 1254, 161, 517,  1254, 161, 517,  153, 153, 153
L 1254, 161, 517,  1299, 276, 502,  153, 153, 153
L 1299, 276, 502,  1307, 293, 496,  153, 153, 153
L 1307, 293, 496,  1307, 293, 496,  153, 153, 153
L 1307, 293, 496,  1313, 310, 497,  153, 153, 153
L 1313, 310, 497,  1317, 322, 499,  153, 153, 153
L 1317, 322, 499,  1317, 322, 499,  153, 153, 153
L 1317, 322, 499,  1317, 322, 499,  153, 153, 153
L 1317, 322, 499,  1327, 353, 507,  153, 153, 153
L 1327, 353, 507,  1327, 353, 507,  153, 153, 153
L 1327, 353, 507,  1340, 392, 521,  153, 153, 153
L 1340, 392, 521,  1345, 405, 526,  153, 153, 153
L 1345, 405, 526,  1345, 405, 526,  153, 153, 153
L 1345, 405, 526,  1345, 405, 526,  153, 153, 153
L 1345, 405, 526,  1345, 405, 526,  153, 153, 153
L 1345, 405, 526,  1345, 405, 526,  153, 153, 153
L 1345, 405, 526,  1348, 418, 537,  153, 153, 153
L 1348, 418, 537,  1349, 430, 559,  153, 153, 153
L 1349, 430, 559,  1351, 443, 584,  153, 153, 153
L 1351, 443, 584,  1351, 443, 584,  153, 153, 153
L 1351, 443, 584,  1351, 443, 584,  153, 153, 153
L 1351, 443, 584,  1351, 443, 584,  153, 153, 153
L 1351, 443, 584,  1352, 473, 601,  153, 153, 153
L 1352, 473, 601,  1352, 485, 604,  153, 153, 153
L 1352, 485, 604,  1352, 485, 604,  153, 153, 153
L 1352, 485, 604,  1352, 514, 614,  153, 153, 153
L 1352, 514, 614,  1352, 514, 614,  153, 153, 153
L 1352, 514, 614,  1352, 514, 614,  153, 153, 153
L 1352, 514, 614,  1352, 514, 614,  153, 153, 153
L 1352, 514, 614,  1352, 514, 614,  153, 153, 153
L 1352, 514, 614,  1352, 555, 681,  153, 153, 153
L 1352, 555, 681,  1352, 555, 681,  153, 153, 153
L 1352, 555, 681,  1352, 555, 681,  153, 153, 153
L 1352, 555, 681,  1352, 555, 681,  153, 153, 153
L 1352, 555, 681,  1352, 611, 829,  153, 153, 153
L 1352, 611, 829,  1352, 623, 864,  153, 153, 153
L 1352, 623, 864,  1352, 623, 864,  153, 153, 153
L 1352, 623, 864,  1350, 636, 906,  153, 153, 153
L 1350, 636, 906,  1348, 648, 948,  153, 153, 153
L 1348, 648, 948,  1346, 661, 989,  153, 153, 153
L 1346, 661, 989,  1345, 673, 1028,  153, 153, 153
L 1345, 673, 1028,  1346, 686, 1059,  153, 153, 153
