L 573, 382, -1791,  573, 382, -1791,  0, 0, 255
L 573, 382, -1791,  573, 395, -1783,  0, 0, 255
L 573, 395, -1783,  580, 405, -1785,  0, 0, 255
L 580, 405, -1785,  602, 406, -1784,  0, 0, 255
L 602, 406, -1784,  609, 394, -1783,  0, 0, 255
L 609, 394, -1783,  639, 394, -1770,  0, 0, 255
L 639, 394, -1770,  658, 402, -1757,  0, 0, 255
L 658, 402, -1757,  673, 424, -1778,  0, 0, 255
L 673, 424, -1778,  697, 493, -1845,  0, 0, 255
L 697, 493, -1845,  724, 530, -1891,  0, 0, 255
L 724, 530, -1891,  735, 550, -1919,  0, 0, 255
L 735, 550, -1919,  732, 598, -2220,  0, 0, 255
L 732, 598, -2220,  721, 619, -2247,  0, 0, 255
L 721, 619, -2247,  721, 657, -2251,  0, 0, 255
L 721, 657, -2251,  729, 669, -2251,  0, 0, 255
L 729, 669, -2251,  732, 706, -2096,  0, 0, 255
L 732, 706, -2096,  721, 727, -2021,  0, 0, 255
L 721, 727, -2021,  723, 755, -1990,  0, 0, 255
L 723, 755, -1990,  728, 772, -1972,  0, 0, 255
L 728, 772, -1972,  712, 794, -1994,  0, 0, 255
L 712, 794, -1994,  711, 813, -1946,  0, 0, 255
L 711, 813, -1946,  695, 841, -1957,  0, 0, 255
L 695, 841, -1957,  682, 849, -1904,  0, 0, 255
L 682, 849, -1904,  661, 855, -1877,  0, 0, 255
L 661, 855, -1877,  643, 856, -1832,  0, 0, 255
L 643, 856, -1832,  626, 864, -1838,  0, 0, 255
L 626, 864, -1838,  602, 843, -1822,  0, 0, 255
L 602, 843, -1822,  579, 844, -1825,  0, 0, 255
L 579, 844, -1825,  556, 863, -1824,  0, 0, 255
L 556, 863, -1824,  530, 850, -1833,  0, 0, 255
L 530, 850, -1833,  509, 850, -1831,  0, 0, 255
L 509, 850, -1831,  476, 865, -1833,  0, 0, 255
L 476, 865, -1833,  465, 857, -1832,  0, 0, 255
L 465, 857, -1832,  463, 856, -1836,  0, 0, 255
L 463, 856, -1836,  441, 864, -1834,  0, 0, 255
L 441, 864, -1834,  427, 851, -1823,  0, 0, 255
L 427, 851, -1823,  409, 851, -1822,  0, 0, 255
L 409, 851, -1822,  398, 862, -1823,  0, 0, 255
L 398, 862, -1823,  365, 844, -1846,  0, 0, 255
L 365, 844, -1846,  357, 841, -1854,  0, 0, 255
L 357, 841, -1854,  337, 844, -1870,  0, 0, 255
L 337, 844, -1870,  323, 855, -1876,  0, 0, 255
L 323, 855, -1876,  311, 862, -1845,  0, 0, 255
L 311, 862, -1845,  299, 863, -1823,  0, 0, 255
L 299, 863, -1823,  287, 856, -1822,  0, 0, 255
L 287, 856, -1822,  274, 856, -1824,  0, 0, 255
L 274, 856, -1824,  264, 863, -1823,  0, 0, 255
L 264, 863, -1823,  253, 860, -1832,  0, 0, 255
L 253, 860, -1832,  239, 859, -1846,  0, 0, 255
L 239, 859, -1846,  226, 864, -1861,  0, 0, 255
L 226, 864, -1861,  205, 864, -1827,  0, 0, 255
L 205, 864, -1827,  180, 844, -1821,  0, 0, 255
L 180, 844, -1821,  154, 844, -1821,  0, 0, 255
L 154, 844, -1821,  136, 862, -1821,  0, 0, 255
L 136, 862, -1821,  116, 859, -1832,  0, 0, 255
L 116, 859, -1832,  131, 819, -1832,  0, 0, 255
L 131, 819, -1832,  75, 772, -1832,  0, 0, 255
L 75, 772, -1832,  74, 761, -1831,  0, 0, 255
L 74, 761, -1831,  93, 744, -1831,  0, 0, 255
L 93, 744, -1831,  123, 767, -1831,  0, 0, 255
L 123, 767, -1831,  147, 767, -1831,  0, 0, 255
L 147, 767, -1831,  164, 780, -1831,  0, 0, 255
L 164, 780, -1831,  186, 748, -1833,  0, 0, 255
L 186, 748, -1833,  186, 696, -1926,  0, 0, 255
L 186, 696, -1926,  192, 672, -1661,  0, 0, 255
L 192, 672, -1661,  224, 692, -1387,  0, 0, 255
L 224, 692, -1387,  274, 696, -1200,  0, 0, 255
L 274, 696, -1200,  322, 705, -1060,  0, 0, 255
L 322, 705, -1060,  458, 737, -1568,  0, 0, 255
L 458, 737, -1568,  480, 729, -1531,  0, 0, 255
L 480, 729, -1531,  497, 729, -1628,  0, 0, 255
L 497, 729, -1628,  521, 749, -1469,  0, 0, 255
L 521, 749, -1469,  612, 781, -1105,  0, 0, 255
L 612, 781, -1105,  547, 732, -1126,  0, 0, 255
L 547, 732, -1126,  547, 550, -1237,  0, 0, 255
L 547, 550, -1237,  614, 497, -1301,  0, 0, 255
L 620, 496, -1530,  620, 496, -1543,  0, 0, 255
L 620, 496, -1543,  654, 569, -1538,  0, 0, 255
L 654, 569, -1538,  622, 591, -1659,  0, 0, 255
L 622, 591, -1659,  600, 612, -1739,  0, 0, 255
L 600, 612, -1739,  614, 623, -1781,  0, 0, 255
L 614, 623, -1781,  615, 651, -1781,  0, 0, 255
L 615, 651, -1781,  601, 661, -1784,  0, 0, 255
L 601, 661, -1784,  620, 684, -1678,  0, 0, 255
L 620, 684, -1678,  654, 708, -1551,  0, 0, 255
L 654, 708, -1551,  620, 782, -1551,  0, 0, 255
L -60, 11, -1565,  -60, 11, -1586,  0, 0, 255
L -60, 11, -1586,  -6, 31, -1656,  0, 0, 255
L -6, 31, -1656,  38, 48, -1715,  0, 0, 255
L 38, 48, -1715,  41, 60, -1736,  0, 0, 255
L 41, 60, -1736,  36, 66, -1750,  0, 0, 255
L 36, 66, -1750,  36, 70, -1764,  0, 0, 255
L 36, 70, -1764,  45, 78, -1721,  0, 0, 255
L 45, 78, -1721,  63, 78, -1740,  0, 0, 255
L 63, 78, -1740,  77, 85, -1752,  0, 0, 255
L 77, 85, -1752,  105, 81, -1680,  0, 0, 255
L 105, 81, -1680,  124, 81, -1690,  0, 0, 255
L 124, 81, -1690,  180, 89, -1700,  0, 0, 255
L 180, 89, -1700,  182, 104, -1707,  0, 0, 255
L 182, 104, -1707,  193, 130, -1721,  0, 0, 255
L 193, 130, -1721,  172, 157, -1726,  0, 0, 255
L 172, 157, -1726,  158, 167, -1731,  0, 0, 255
L 158, 167, -1731,  156, 192, -1738,  0, 0, 255
L 156, 192, -1738,  143, 241, -1731,  0, 0, 255
L 143, 241, -1731,  155, 260, -1737,  0, 0, 255
L 155, 260, -1737,  156, 284, -1794,  0, 0, 255
L 156, 284, -1794,  180, 302, -1788,  0, 0, 255
L 180, 302, -1788,  168, 326, -1630,  0, 0, 255
L 168, 326, -1630,  167, 343, -1669,  0, 0, 255
L 167, 343, -1669,  185, 369, -1731,  0, 0, 255
L 185, 369, -1731,  204, 383, -1731,  0, 0, 255
L 204, 383, -1731,  219, 396, -1751,  0, 0, 255
L 219, 396, -1751,  241, 396, -1601,  0, 0, 255
L 241, 396, -1601,  251, 384, -1629,  0, 0, 255
L 251, 384, -1629,  253, 371, -1644,  0, 0, 255
L 253, 371, -1644,  240, 354, -1662,  0, 0, 255
L 240, 354, -1662,  259, 351, -1689,  0, 0, 255
L 259, 351, -1689,  280, 342, -1708,  0, 0, 255
L 280, 342, -1708,  298, 351, -1724,  0, 0, 255
L 298, 351, -1724,  319, 354, -1738,  0, 0, 255
L 319, 354, -1738,  331, 343, -1790,  0, 0, 255
L 331, 343, -1790,  358, 384, -1821,  0, 0, 255
L 358, 384, -1821,  347, 398, -1802,  0, 0, 255
L 347, 398, -1802,  347, 417, -1808,  0, 0, 255
L 347, 417, -1808,  419, 426, -2008,  0, 0, 255
L 419, 426, -2008,  433, 513, -2093,  0, 0, 255
L 433, 513, -2093,  450, 533, -2059,  0, 0, 255
L 450, 533, -2059,  442, 538, -2066,  0, 0, 255
L 442, 538, -2066,  443, 552, -2055,  0, 0, 255
L 443, 552, -2055,  473, 586, -1973,  0, 0, 255
L 473, 586, -1973,  476, 605, -2096,  0, 0, 255
L 476, 605, -2096,  477, 627, -2160,  0, 0, 255
L 477, 627, -2160,  523, 646, -2163,  0, 0, 255
L 523, 646, -2163,  523, 646, -2163,  0, 0, 153
L 523, 646, -2163,  565, 646, -1913,  0, 0, 153
L 565, 646, -1913,  581, 664, -1717,  0, 0, 153
L 581, 664, -1717,  580, 708, -1546,  0, 0, 153
L 580, 708, -1546,  550, 732, -1389,  0, 0, 153
L 548, 548, -1493,  548, 548, -1507,  0, 0, 153
L 548, 548, -1507,  579, 569, -1570,  0, 0, 153
L 579, 569, -1570,  580, 611, -1727,  0, 0, 153
L 580, 611, -1727,  565, 629, -1822,  0, 0, 153
L 565, 629, -1822,  520, 629, -2169,  0, 0, 153
L 522, 629, -2191,  522, 629, -2206,  0, 0, 255
L 522, 629, -2206,  522, 606, -2117,  0, 0, 255
L 522, 606, -2117,  527, 597, -2119,  0, 0, 255
L 527, 597, -2119,  527, 591, -2116,  0, 0, 255
L 527, 591, -2116,  497, 552, -2052,  0, 0, 255
L 497, 552, -2052,  481, 552, -2045,  0, 0, 255
L 481, 552, -2045,  480, 537, -2029,  0, 0, 255
L 480, 537, -2029,  470, 532, -2018,  0, 0, 255
L 470, 532, -2018,  478, 519, -2093,  0, 0, 255
L 478, 519, -2093,  477, 505, -2145,  0, 0, 255
L 477, 505, -2145,  471, 492, -2203,  0, 0, 255
L 471, 492, -2203,  469, 418, -1779,  0, 0, 255
L 469, 418, -1779,  426, 396, -1828,  0, 0, 255
L 426, 396, -1828,  393, 383, -1742,  0, 0, 255
L 393, 383, -1742,  416, 374, -1681,  0, 0, 255
L 416, 374, -1681,  415, 357, -1636,  0, 0, 255
L 415, 357, -1636,  393, 345, -1715,  0, 0, 255
L 393, 345, -1715,  372, 325, -1713,  0, 0, 255
L 372, 325, -1713,  281, 325, -1688,  0, 0, 255
L 281, 325, -1688,  262, 313, -1694,  0, 0, 255
L 262, 313, -1694,  239, 312, -1700,  0, 0, 255
L 239, 312, -1700,  219, 290, -1700,  0, 0, 255
L 219, 290, -1700,  201, 290, -1704,  0, 0, 255
L 201, 290, -1704,  200, 276, -1703,  0, 0, 255
L 200, 276, -1703,  181, 263, -1703,  0, 0, 255
L 181, 263, -1703,  173, 243, -1701,  0, 0, 255
L 173, 243, -1701,  197, 224, -1695,  0, 0, 255
L 197, 224, -1695,  197, 194, -1698,  0, 0, 255
L 197, 194, -1698,  208, 172, -1709,  0, 0, 255
L 208, 172, -1709,  229, 157, -1702,  0, 0, 255
L 229, 157, -1702,  231, 128, -1696,  0, 0, 255
L 231, 128, -1696,  242, 111, -1693,  0, 0, 255
L 242, 111, -1693,  242, 61, -1672,  0, 0, 255
L 242, 61, -1672,  213, 50, -1668,  0, 0, 255
L 213, 50, -1668,  192, 50, -1665,  0, 0, 255
L 192, 50, -1665,  170, 61, -1661,  0, 0, 255
L 170, 61, -1661,  157, 61, -1654,  0, 0, 255
L 157, 61, -1654,  121, 50, -1648,  0, 0, 255
L 121, 50, -1648,  112, 50, -1645,  0, 0, 255
L 112, 50, -1645,  74, 60, -1638,  0, 0, 255
L 74, 60, -1638,  67, 58, -1633,  0, 0, 255
L 67, 58, -1633,  67, 51, -1642,  0, 0, 255
L 67, 51, -1642,  94, 38, -1648,  0, 0, 255
L 94, 38, -1648,  148, 22, -1629,  0, 0, 255
L 148, 22, -1629,  171, 12, -1616,  0, 0, 255
L 171, 12, -1616,  164, -19, -1643,  0, 0, 255
L 164, -19, -1643,  149, -30, -1388,  0, 0, 255
L 149, -30, -1388,  124, -19, -1547,  0, 0, 255
L 124, -19, -1547,  124, -7, -1601,  0, 0, 255
L 124, -7, -1601,  116, 4, -1630,  0, 0, 255
L 116, 4, -1630,  66, 0, -1628,  0, 0, 255
L 66, 0, -1628,  57, -59, -1530,  0, 0, 255
L 57, -59, -1530,  67, -66, -1530,  0, 0, 255
L 67, -66, -1530,  70, -72, -1530,  0, 0, 255
L 70, -72, -1530,  69, -80, -1530,  0, 0, 255
L 69, -80, -1530,  65, -86, -1530,  0, 0, 255
L 65, -86, -1530,  60, -94, -1530,  0, 0, 255
L 60, -94, -1530,  57, -103, -1530,  0, 0, 255
L 57, -103, -1530,  98, -124, -1599,  0, 0, 255
L 98, -124, -1599,  119, -139, -1602,  0, 0, 255
L 119, -139, -1602,  119, -181, -1739,  0, 0, 255
L 119, -181, -1739,  129, -192, -1487,  0, 0, 255
L 129, -192, -1487,  129, -204, -1496,  0, 0, 255
L 129, -204, -1496,  118, -213, -1505,  0, 0, 255
L 118, -213, -1505,  109, -213, -1508,  0, 0, 255
L 109, -213, -1508,  100, -205, -1519,  0, 0, 255
L 100, -205, -1519,  99, -192, -1530,  0, 0, 255
L 99, -192, -1530,  109, -183, -1543,  0, 0, 255
L 109, -183, -1543,  120, -183, -1563,  0, 0, 255
L 109, -183, -1643,  109, -183, -1653,  0, 0, 255
L 109, -183, -1653,  110, -175, -1768,  0, 0, 255
L 110, -175, -1768,  89, -137, -1600,  0, 0, 255
L 89, -137, -1600,  82, -137, -1582,  0, 0, 255
L 82, -137, -1582,  73, -127, -1541,  0, 0, 255
L 73, -127, -1541,  63, -127, -1503,  0, 0, 255
L 63, -127, -1503,  58, -120, -1484,  0, 0, 255
L 58, -120, -1484,  46, -101, -1530,  0, 0, 255
L 46, -101, -1530,  44, -94, -1530,  0, 0, 255
L 44, -94, -1530,  37, -81, -1530,  0, 0, 255
L 37, -81, -1530,  35, -70, -1530,  0, 0, 255
L 35, -70, -1530,  38, -66, -1530,  0, 0, 255
L 38, -66, -1530,  48, -61, -1530,  0, 0, 255
L 48, -61, -1530,  48, -54, -1534,  0, 0, 255
L 48, -54, -1534,  38, 5, -1635,  0, 0, 255
L 38, 5, -1635,  -10, 4, -1674,  0, 0, 255
L -10, 4, -1674,  -17, -7, -1535,  0, 0, 255
L -17, -7, -1535,  -17, -20, -1438,  0, 0, 255
L -17, -20, -1438,  -41, -29, -1391,  0, 0, 255
L -41, -29, -1391,  -54, -21, -1450,  0, 0, 255
L -54, -21, -1450,  -62, 11, -1578,  0, 0, 255
L 38, -82, -282,  38, -82, -282,  0, 0, 153
L 38, -82, -282,  30, -81, -202,  0, 0, 153
L 30, -81, -202,  13, -85, -202,  0, 0, 153
L 13, -85, -202,  4, -84, -202,  0, 0, 153
L 4, -84, -202,  1, -82, -202,  0, 0, 153
L 1, -82, -202,  1, -76, -202,  0, 0, 153
L 1, -76, -202,  6, -65, -202,  0, 0, 153
