L -4297, 12323, -2804,  -4441, 12323, -2804,  153, 153, 153
L -4441, 12323, -2804,  -4441, 12183, -2804,  153, 153, 153
L -4441, 12183, -2804,  -4297, 12183, -2804,  153, 153, 153
L -4297, 12183, -2804,  -4297, 12323, -2804,  153, 153, 153
L 513, 11371, 0,  591, 11269, 21,  153, 153, 153
L 591, 11269, 21,  712, 11134, 47,  153, 153, 153
L 712, 11134, 47,  992, 10940, 9,  153, 153, 153
L 992, 10940, 9,  1258, 10832, 96,  153, 153, 153
L 1258, 10832, 96,  1759, 10712, 0,  153, 153, 153
L 1759, 10712, 0,  2178, 10694, -2,  153, 153, 153
L 2178, 10694, -2,  2604, 10748, 104,  153, 153, 153
L 2604, 10748, 104,  2891, 10840, 102,  153, 153, 153
L 2891, 10840, 102,  2994, 10874, 77,  153, 153, 153
L 2994, 10874, 77,  3096, 10937, 40,  153, 153, 153
L 3096, 10937, 40,  3238, 11018, 20,  153, 153, 153
L 3238, 11018, 20,  3312, 11056, -1,  153, 153, 153
L 3312, 11056, -1,  3377, 11112, 0,  153, 153, 153
L 3377, 11112, 0,  3420, 11144, -1,  153, 153, 153
L 3420, 11144, -1,  3467, 11190, -1,  153, 153, 153
L 3467, 11190, -1,  3527, 11250, 0,  153, 153, 153
L 3527, 11250, 0,  3580, 11332, 15,  153, 153, 153
L 3580, 11332, 15,  3604, 11364, 7,  153, 153, 153
L 3604, 11364, 7,  3634, 11424, 75,  153, 153, 153
L 3634, 11424, 75,  3645, 11441, 66,  153, 153, 153
L 3645, 11441, 66,  3708, 11699, -9,  153, 153, 153
L 3708, 11699, -9,  3709, 11713, -11,  153, 153, 153
L 3709, 11713, -11,  3702, 11768, 1,  153, 153, 153
L 3702, 11768, 1,  3676, 11864, 40,  153, 153, 153
L 3676, 11864, 40,  3622, 12034, 38,  153, 153, 153
L 3622, 12034, 38,  3622, 12034, 38,  153, 153, 153
L 3622, 12034, 38,  3622, 12034, 38,  153, 153, 153
L 3622, 12034, 38,  3622, 12034, 38,  153, 153, 153
L 3622, 12034, 38,  3612, 12050, 36,  153, 153, 153
L 3612, 12050, 36,  3542, 12137, 11,  153, 153, 153
L 3542, 12137, 11,  3421, 12271, -11,  153, 153, 153
L 3421, 12271, -11,  3300, 12362, 32,  153, 153, 153
L 3300, 12362, 32,  3210, 12419, 13,  153, 153, 153
L 3210, 12419, 13,  3136, 12471, -8,  153, 153, 153
L 3136, 12471, -8,  2876, 12575, 2,  153, 153, 153
L 2876, 12575, 2,  2780, 12616, -23,  153, 153, 153
L 2780, 12616, -23,  2683, 12634, -5,  153, 153, 153
L 2683, 12634, -5,  2478, 12674, 26,  153, 153, 153
L 2478, 12674, 26,  2370, 12697, 0,  153, 153, 153
L 2370, 12697, 0,  2052, 12707, 17,  153, 153, 153
L 2052, 12707, 17,  1947, 12713, -10,  153, 153, 153
L 1947, 12713, -10,  1634, 12672, 18,  153, 153, 153
L 1634, 12672, 18,  1522, 12658, 25,  153, 153, 153
L 1522, 12658, 25,  1254, 12575, 8,  153, 153, 153
L 1254, 12575, 8,  1137, 12537, -18,  153, 153, 153
L 1137, 12537, -18,  1062, 12495, -4,  153, 153, 153
L 1062, 12495, -4,  986, 12457, 5,  153, 153, 153
L 986, 12457, 5,  820, 12363, 26,  153, 153, 153
L 820, 12363, 26,  766, 12313, 6,  153, 153, 153
L 766, 12313, 6,  645, 12198, -14,  153, 153, 153
L 645, 12198, -14,  585, 12141, -8,  153, 153, 153
L 585, 12141, -8,  521, 12032, 7,  153, 153, 153
L 521, 12032, 7,  452, 11889, -1,  153, 153, 153
L 452, 11889, -1,  447, 11824, -8,  153, 153, 153
L 447, 11824, -8,  433, 11700, 4,  153, 153, 153
L 433, 11700, 4,  426, 11630, 0,  153, 153, 153
L 426, 11630, 0,  446, 11569, -16,  153, 153, 153
L 446, 11569, -16,  457, 11518, 0,  153, 153, 153
L 457, 11518, 0,  489, 11444, 13,  153, 153, 153
L 489, 11444, 13,  513, 11371, 11,  153, 153, 153
L 3713, 11494, -963,  3571, 11524, -782,  153, 153, 153
L 3571, 11524, -782,  3445, 11532, -868,  153, 153, 153
L 3445, 11532, -868,  3448, 11545, -710,  153, 153, 153
L 3448, 11545, -710,  3351, 11567, -607,  153, 153, 153
L 3363, 11612, -602,  3418, 11600, -580,  153, 153, 153
L 3418, 11600, -580,  3462, 11599, -957,  153, 153, 153
L 3462, 11599, -957,  3590, 11569, -969,  153, 153, 153
L 3590, 11569, -969,  3721, 11567, -656,  153, 153, 153
L 3721, 11567, -656,  3773, 11627, -568,  153, 153, 153
L 2954, 11553, -3,  2893, 11460, -21,  153, 153, 153
L 2893, 11460, -21,  2857, 11408, 20,  153, 153, 153
L 2857, 11408, 20,  2709, 11279, 4,  153, 153, 153
L 2709, 11279, 4,  2591, 11217, 0,  153, 153, 153
L 2591, 11217, 0,  2522, 11180, 3,  153, 153, 153
L 2522, 11180, 3,  2300, 11123, -6,  153, 153, 153
L 2300, 11123, -6,  2068, 11098, 15,  153, 153, 153
L 2068, 11098, 15,  1832, 11119, -9,  153, 153, 153
L 1832, 11119, -9,  1616, 11181, -21,  153, 153, 153
L 1616, 11181, -21,  1466, 11266, -5,  153, 153, 153
L 1466, 11266, -5,  1312, 11390, 6,  153, 153, 153
L 1312, 11390, 6,  1177, 11556, -19,  153, 153, 153
L 1177, 11556, -19,  1160, 11715, -3,  153, 153, 153
L 1160, 11715, -3,  1194, 11877, -20,  153, 153, 153
L 1194, 11877, -20,  1275, 12021, -9,  153, 153, 153
L 1275, 12021, -9,  1420, 12157, -14,  153, 153, 153
L 1420, 12157, -14,  1611, 12253, -19,  153, 153, 153
L 1611, 12253, -19,  1837, 12310, 2,  153, 153, 153
L 1837, 12310, 2,  2069, 12334, 4,  153, 153, 153
L 2069, 12334, 4,  2308, 12315, 19,  153, 153, 153
L 2308, 12315, 19,  2525, 12250, -12,  153, 153, 153
L 2525, 12250, -12,  2710, 12149, 4,  153, 153, 153
L 2710, 12149, 4,  2856, 12024, -17,  153, 153, 153
L 2856, 12024, -17,  2941, 11872, -7,  153, 153, 153
L 2941, 11872, -7,  2977, 11718, -10,  153, 153, 153
L 2977, 11718, -10,  2954, 11553, -12,  153, 153, 153
L 1381, 11300, -527,  1500, 11363, -437,  153, 153, 153
L 1500, 11363, -437,  1617, 11452, -51,  153, 153, 153
L 1617, 11452, -51,  1677, 11496, 166,  153, 153, 153
L 1677, 11496, 166,  1771, 11550, 342,  153, 153, 153
L 1711, 11610, 277,  1629, 11567, 111,  153, 153, 153
L 1629, 11567, 111,  1582, 11530, -32,  153, 153, 153
L 1582, 11530, -32,  1457, 11432, -414,  153, 153, 153
L 1457, 11432, -414,  1278, 11369, -544,  153, 153, 153
L -3403, 9655, 5,  -3336, 9659, -20,  153, 153, 153
L -3336, 9659, -20,  -3306, 9640, -19,  153, 153, 153
L -3306, 9640, -19,  -3264, 9644, -13,  153, 153, 153
L -3264, 9644, -13,  -3223, 9628, -19,  153, 153, 153
L -3223, 9628, -19,  -3089, 9643, -21,  153, 153, 153
L -3089, 9643, -21,  -2863, 9651, -20,  153, 153, 153
L -2863, 9651, -20,  -2851, 9563, -4,  153, 153, 153
L -2851, 9563, -4,  -2845, 9548, -17,  153, 153, 153
L -2845, 9548, -17,  -2850, 9337, -17,  153, 153, 153
L -2850, 9337, -17,  -2772, 9332, 7,  153, 153, 153
L -2772, 9332, 7,  -2763, 9323, -8,  153, 153, 153
L -2763, 9323, -8,  -2727, 9325, 10,  153, 153, 153
L -2727, 9325, 10,  -2688, 9342, -14,  153, 153, 153
L -2688, 9342, -14,  -2673, 9304, 4,  153, 153, 153
L -2673, 9304, 4,  -2676, 9271, -18,  153, 153, 153
L -2676, 9271, -18,  -2666, 9263, 37,  153, 153, 153
L -2666, 9263, 37,  -2667, 9248, 10,  153, 153, 153
L -2667, 9248, 10,  -2583, 9207, 37,  153, 153, 153
L -2583, 9207, 37,  -2585, 9174, 10,  153, 153, 153
L -2585, 9174, 10,  -2553, 9151, -1,  153, 153, 153
L -2553, 9151, -1,  -2584, 9119, -15,  153, 153, 153
L -2584, 9119, -15,  -2594, 9093, -13,  153, 153, 153
L -2594, 9093, -13,  -2581, 9075, 6,  153, 153, 153
L -2581, 9075, 6,  -2565, 9069, -12,  153, 153, 153
