L -497, -5298, -148,  -497, -5298, -148,  153, 153, 153
L -497, -5298, -148,  -340, -5297, -160,  153, 153, 153
L -340, -5297, -160,  -341, -5354, -157,  153, 153, 153
L -341, -5354, -157,  -493, -5354, -136,  153, 153, 153
L -10770, -7901, -255,  -10770, -7901, -255,  0, 0, 255
L -10770, -7901, -255,  23621, -7812, -195,  0, 0, 255
L 23621, -7812, -195,  23540, 8396, -401,  0, 0, 255
L 23540, 8396, -401,  -10746, 8398, -397,  0, 0, 255
L -10746, 8398, -397,  -10770, -7900, -391,  0, 0, 255
L 734, -7360, -307,  734, -7360, -309,  153, 153, 153
L 734, -7360, -309,  767, -7296, -389,  153, 153, 153
L 767, -7296, -389,  775, -7260, -326,  153, 153, 153
L 775, -7260, -326,  662, -7072, -340,  153, 153, 153
L 662, -7072, -340,  621, -7010, -357,  153, 153, 153
L 621, -7010, -357,  601, -6979, -333,  153, 153, 153
L 601, -6979, -333,  598, -6866, -402,  153, 153, 153
L 598, -6866, -402,  598, -6824, -365,  153, 153, 153
L 598, -6824, -365,  475, -6829, -332,  153, 153, 153
L 475, -6829, -332,  388, -6904, -341,  153, 153, 153
L 388, -6904, -341,  247, -6992, -344,  153, 153, 153
L 247, -6992, -344,  175, -7025, -361,  153, 153, 153
L 175, -7025, -361,  138, -7044, -375,  153, 153, 153
L 138, -7044, -375,  12, -7010, -326,  153, 153, 153
L 12, -7010, -326,  102, -7158, -259,  153, 153, 153
L 102, -7158, -259,  123, -7194, -282,  153, 153, 153
L 123, -7194, -282,  212, -7302, -343,  153, 153, 153
L 212, -7302, -343,  249, -7340, -344,  153, 153, 153
L 249, -7340, -344,  306, -7356, -256,  153, 153, 153
L 306, -7356, -256,  331, -7361, -255,  153, 153, 153
L 331, -7361, -255,  419, -7370, -257,  153, 153, 153
L 419, -7370, -257,  452, -7279, -256,  153, 153, 153
L 452, -7279, -256,  593, -7324, -389,  153, 153, 153
L 593, -7324, -389,  639, -7344, -341,  153, 153, 153
L 639, -7344, -341,  719, -7350, -280,  153, 153, 153
L 719, -7350, -280,  739, -7356, -273,  153, 153, 153
L 634, -6826, -241,  634, -6826, -241,  153, 153, 153
L 634, -6826, -241,  662, -6965, -66,  153, 153, 153
L 662, -6965, -66,  666, -7005, -182,  153, 153, 153
L 666, -7005, -182,  826, -7070, -428,  153, 153, 153
L 826, -7070, -428,  912, -7050, -350,  153, 153, 153
