L 43, -1324, 760,  43, -1324, 760,  153, 153, 153
L 43, -1324, 760,  50, -1336, 727,  153, 153, 153
L 50, -1336, 727,  57, -1353, 711,  153, 153, 153
L 57, -1353, 711,  57, -1353, 711,  153, 153, 153
L 57, -1353, 711,  55, -1378, 668,  153, 153, 153
L 55, -1378, 668,  55, -1378, 668,  153, 153, 153
L 55, -1378, 668,  48, -1389, 649,  153, 153, 153
L 48, -1389, 649,  39, -1398, 629,  153, 153, 153
L 39, -1398, 629,  30, -1403, 613,  153, 153, 153
L 30, -1403, 613,  30, -1403, 613,  153, 153, 153
L 30, -1403, 613,  19, -1406, 599,  153, 153, 153
L 19, -1406, 599,  6, -1407, 576,  153, 153, 153
L -29, -1406, 522,  -29, -1406, 522,  153, 153, 153
L -29, -1406, 522,  -26, -1401, 531,  153, 153, 153
L -26, -1401, 531,  -17, -1391, 550,  153, 153, 153
L -17, -1391, 550,  -6, -1384, 566,  153, 153, 153
L -6, -1384, 566,  -6, -1384, 566,  153, 153, 153
L -6, -1384, 566,  6, -1381, 580,  153, 153, 153
L 6, -1381, 580,  23, -1378, 614,  153, 153, 153
L 23, -1378, 614,  31, -1367, 667,  153, 153, 153
L 31, -1367, 667,  31, -1367, 667,  153, 153, 153
L 31, -1367, 667,  32, -1358, 685,  153, 153, 153
L 32, -1358, 685,  32, -1347, 666,  153, 153, 153
L 32, -1347, 666,  34, -1341, 663,  153, 153, 153
L 34, -1341, 663,  27, -1336, 709,  153, 153, 153
L 13, -1396, 1420,  13, -1396, 1420,  153, 153, 153
L 13, -1396, 1420,  25, -1396, 1458,  153, 153, 153
L 25, -1396, 1458,  36, -1393, 1448,  153, 153, 153
L 36, -1393, 1448,  36, -1393, 1448,  153, 153, 153
L 36, -1393, 1448,  74, -1374, 1764,  153, 153, 153
L 74, -1374, 1764,  73, -1351, 1833,  153, 153, 153
L 73, -1351, 1833,  71, -1343, 1753,  153, 153, 153
L 71, -1343, 1753,  68, -1330, 1509,  153, 153, 153
L 68, -1330, 1509,  63, -1309, 1309,  153, 153, 153
L 63, -1309, 1309,  59, -1295, 1284,  153, 153, 153
L 59, -1295, 1284,  55, -1265, 1252,  153, 153, 153
L 55, -1265, 1252,  65, -1239, 1130,  153, 153, 153
L 65, -1239, 1130,  94, -1262, 1128,  153, 153, 153
L 94, -1262, 1128,  96, -1261, 1120,  153, 153, 153
L 96, -1261, 1120,  106, -1259, 1089,  153, 153, 153
L 106, -1259, 1089,  110, -1258, 1073,  153, 153, 153
L 110, -1258, 1073,  110, -1258, 1073,  153, 153, 153
L 110, -1258, 1073,  130, -1254, 991,  153, 153, 153
L 130, -1254, 991,  154, -1249, 898,  153, 153, 153
L 154, -1249, 898,  168, -1246, 813,  153, 153, 153
L 168, -1246, 813,  193, -1250, 677,  153, 153, 153
L 193, -1250, 677,  266, -1270, 959,  153, 153, 153
L 266, -1270, 959,  266, -1270, 959,  153, 153, 153
L 266, -1270, 959,  278, -1273, 993,  153, 153, 153
L 278, -1273, 993,  290, -1275, 962,  153, 153, 153
L 290, -1275, 962,  305, -1279, 827,  153, 153, 153
L 305, -1279, 827,  311, -1280, 747,  153, 153, 153
L 311, -1280, 747,  319, -1282, 672,  153, 153, 153
L 319, -1282, 672,  343, -1287, 572,  153, 153, 153
L 343, -1287, 572,  343, -1287, 572,  153, 153, 153
L 343, -1287, 572,  366, -1315, 993,  153, 153, 153
L 366, -1315, 993,  373, -1324, 1023,  153, 153, 153
L 373, -1324, 1023,  387, -1340, 1062,  153, 153, 153
L 387, -1340, 1062,  413, -1356, 1398,  153, 153, 153
L 413, -1356, 1398,  413, -1356, 1398,  153, 153, 153
L 413, -1356, 1398,  421, -1361, 1477,  153, 153, 153
L 421, -1361, 1477,  432, -1368, 1465,  153, 153, 153
L 432, -1368, 1465,  463, -1388, 1629,  153, 153, 153
L 463, -1388, 1629,  472, -1393, 1576,  153, 153, 153
L 472, -1393, 1576,  476, -1396, 1499,  153, 153, 153
L 476, -1396, 1499,  478, -1396, 1459,  153, 153, 153
L 478, -1396, 1459,  481, -1397, 1410,  153, 153, 153
L 481, -1397, 1410,  495, -1398, 1149,  153, 153, 153
L 495, -1398, 1149,  504, -1398, 1022,  153, 153, 153
L 504, -1398, 1022,  512, -1399, 927,  153, 153, 153
L 512, -1399, 927,  518, -1399, 870,  153, 153, 153
L 518, -1399, 870,  525, -1400, 818,  153, 153, 153
L 525, -1400, 818,  532, -1400, 773,  153, 153, 153
L 532, -1400, 773,  532, -1400, 773,  153, 153, 153
L 532, -1400, 773,  549, -1401, 657,  153, 153, 153
L 549, -1401, 657,  549, -1401, 657,  153, 153, 153
L 549, -1401, 657,  570, -1399, 540,  153, 153, 153
L 570, -1399, 540,  579, -1397, 517,  153, 153, 153
L 579, -1397, 517,  600, -1403, 523,  153, 153, 153
L 600, -1403, 523,  611, -1400, 563,  153, 153, 153
L 611, -1400, 563,  617, -1399, 578,  153, 153, 153
L 617, -1399, 578,  635, -1394, 663,  153, 153, 153
L 635, -1394, 663,  646, -1391, 748,  153, 153, 153
L 646, -1391, 748,  674, -1386, 1104,  153, 153, 153
L 674, -1386, 1104,  696, -1384, 1255,  153, 153, 153
L 696, -1384, 1255,  715, -1382, 1348,  153, 153, 153
L 715, -1382, 1348,  728, -1380, 1296,  153, 153, 153
L 728, -1380, 1296,  741, -1380, 1166,  153, 153, 153
L 741, -1380, 1166,  752, -1381, 949,  153, 153, 153
L 752, -1381, 949,  778, -1383, 626,  153, 153, 153
L 778, -1383, 626,  790, -1384, 577,  153, 153, 153
L 790, -1384, 577,  817, -1386, 518,  153, 153, 153
L 817, -1386, 518,  845, -1390, 481,  153, 153, 153
L 845, -1390, 481,  870, -1398, 622,  153, 153, 153
L 870, -1398, 622,  884, -1402, 746,  153, 153, 153
L 884, -1402, 746,  918, -1412, 905,  153, 153, 153
L 918, -1412, 905,  926, -1411, 986,  153, 153, 153
L 926, -1411, 986,  941, -1405, 1150,  153, 153, 153
L 941, -1405, 1150,  960, -1398, 1320,  153, 153, 153
L 960, -1398, 1320,  967, -1396, 1285,  153, 153, 153
L 967, -1396, 1285,  977, -1392, 1218,  153, 153, 153
L 977, -1392, 1218,  1027, -1395, 964,  153, 153, 153
L 1027, -1395, 964,  1050, -1399, 979,  153, 153, 153
L 1050, -1399, 979,  1100, -1409, 1220,  153, 153, 153
L 1100, -1409, 1220,  1122, -1413, 1301,  153, 153, 153
L 1122, -1413, 1301,  1201, -1436, 1596,  153, 153, 153
L 1201, -1436, 1596,  1232, -1431, 1648,  153, 153, 153
L 1232, -1431, 1648,  1246, -1427, 1593,  153, 153, 153
L 1246, -1427, 1593,  1298, -1411, 1937,  153, 153, 153
L 1298, -1411, 1937,  1325, -1403, 2010,  153, 153, 153
L 1325, -1403, 2010,  1354, -1387, 2160,  153, 153, 153
L 1354, -1387, 2160,  1357, -1382, 2078,  153, 153, 153
L 1357, -1382, 2078,  1364, -1370, 1870,  153, 153, 153
L 1364, -1370, 1870,  1373, -1355, 1712,  153, 153, 153
L 1373, -1355, 1712,  1382, -1340, 1508,  153, 153, 153
L 1382, -1340, 1508,  1399, -1311, 1149,  153, 153, 153
L 1399, -1311, 1149,  1407, -1294, 1031,  153, 153, 153
L 1407, -1294, 1031,  1407, -1274, 828,  153, 153, 153
L 1407, -1274, 828,  1407, -1263, 778,  153, 153, 153
L 1407, -1263, 778,  1402, -1232, 585,  153, 153, 153
L 1402, -1232, 585,  1396, -1225, 490,  153, 153, 153
L 1396, -1225, 490,  1372, -1192, 260,  153, 153, 153
L 1372, -1192, 260,  1361, -1163, 348,  153, 153, 153
L 1361, -1163, 348,  1348, -1102, 769,  153, 153, 153
L 1348, -1102, 769,  1348, -1094, 739,  153, 153, 153
L 1348, -1094, 739,  1352, -1064, 892,  153, 153, 153
L 1352, -1064, 892,  1361, -1049, 748,  153, 153, 153
L 1361, -1049, 748,  1368, -1036, 554,  153, 153, 153
L 1368, -1036, 554,  1380, -1016, 408,  153, 153, 153
L 1380, -1016, 408,  1387, -1006, 417,  153, 153, 153
L 1387, -1006, 417,  1398, -985, 584,  153, 153, 153
L 1398, -985, 584,  1396, -961, 630,  153, 153, 153
L 1396, -961, 630,  1383, -946, 524,  153, 153, 153
L 1383, -946, 524,  1381, -942, 502,  153, 153, 153
L 1381, -942, 502,  1378, -925, 497,  153, 153, 153
L 1378, -925, 497,  1379, -913, 513,  153, 153, 153
L 1379, -913, 513,  1385, -906, 594,  153, 153, 153
L 1385, -906, 594,  1383, -900, 572,  153, 153, 153
L 1383, -900, 572,  1381, -895, 547,  153, 153, 153
L 1381, -895, 547,  1366, -871, 348,  153, 153, 153
L 1366, -871, 348,  1358, -850, 272,  153, 153, 153
L 1358, -850, 272,  1354, -840, 231,  153, 153, 153
L 1354, -840, 231,  1334, -789, 27,  153, 153, 153
L 1334, -789, 27,  1322, -758, -22,  153, 153, 153
L 1322, -758, -22,  1313, -734, -19,  153, 153, 153
L 1313, -734, -19,  1300, -713, -16,  153, 153, 153
L 1300, -713, -16,  1279, -696, 21,  153, 153, 153
L 1279, -696, 21,  1272, -690, 28,  153, 153, 153
L 1272, -690, 28,  1250, -648, 350,  153, 153, 153
L 1250, -648, 350,  1244, -618, 238,  153, 153, 153
L 1244, -618, 238,  1244, -616, 219,  153, 153, 153
L 1244, -616, 219,  1242, -606, 93,  153, 153, 153
L 1242, -606, 93,  1241, -601, 29,  153, 153, 153
L 1241, -601, 29,  1243, -585, 31,  153, 153, 153
L 1243, -585, 31,  1276, -544, 18,  153, 153, 153
L 1276, -544, 18,  1290, -526, 69,  153, 153, 153
L 1290, -526, 69,  1317, -489, 392,  153, 153, 153
L 1317, -489, 392,  1321, -481, 437,  153, 153, 153
L 1321, -481, 437,  1333, -450, 626,  153, 153, 153
L 1333, -450, 626,  1336, -419, 819,  153, 153, 153
L 1336, -419, 819,  1339, -397, 1012,  153, 153, 153
L 1339, -397, 1012,  1355, -359, 1171,  153, 153, 153
L 12, -1396, 1455,  12, -1396, 1457,  153, 153, 153
L 12, -1396, 1457,  -9, -1396, 1459,  153, 153, 153
L -9, -1396, 1459,  -47, -1396, 1529,  153, 153, 153
L -47, -1396, 1529,  -104, -1396, 1541,  153, 153, 153
L -104, -1396, 1541,  -148, -1396, 1530,  153, 153, 153
L -148, -1396, 1530,  -157, -1396, 1510,  153, 153, 153
L -157, -1396, 1510,  -187, -1396, 1455,  153, 153, 153
L -187, -1396, 1455,  -187, -1396, 1455,  153, 153, 153
L -187, -1396, 1455,  -229, -1388, 1390,  153, 153, 153
L -229, -1388, 1390,  -254, -1381, 1389,  153, 153, 153
L -254, -1381, 1389,  -282, -1381, 1397,  153, 153, 153
L -282, -1381, 1397,  -349, -1385, 1469,  153, 153, 153
L -349, -1385, 1469,  -349, -1385, 1469,  153, 153, 153
L -349, -1385, 1469,  -364, -1386, 1444,  153, 153, 153
L -364, -1386, 1444,  -418, -1390, 1365,  153, 153, 153
L -418, -1390, 1365,  -446, -1394, 1352,  153, 153, 153
L -446, -1394, 1352,  -446, -1394, 1352,  153, 153, 153
L -446, -1394, 1352,  -487, -1399, 1303,  153, 153, 153
L -487, -1399, 1303,  -528, -1404, 1238,  153, 153, 153
L -528, -1404, 1238,  -528, -1404, 1238,  153, 153, 153
L -528, -1404, 1238,  -563, -1399, 1050,  153, 153, 153
L -563, -1399, 1050,  -623, -1389, 708,  153, 153, 153
L -623, -1389, 708,  -642, -1385, 619,  153, 153, 153
L -642, -1385, 619,  -677, -1378, 456,  153, 153, 153
L -677, -1378, 456,  -687, -1376, 431,  153, 153, 153
L -687, -1376, 431,  -719, -1370, 402,  153, 153, 153
L -719, -1370, 402,  -751, -1364, 687,  153, 153, 153
L -751, -1364, 687,  -779, -1358, 887,  153, 153, 153
L -779, -1358, 887,  -814, -1358, 787,  153, 153, 153
L -814, -1358, 787,  -814, -1358, 787,  153, 153, 153
L -814, -1358, 787,  -898, -1381, 730,  153, 153, 153
L -898, -1381, 730,  -898, -1381, 730,  153, 153, 153
L -898, -1381, 730,  -977, -1402, 645,  153, 153, 153
L -977, -1402, 645,  -987, -1404, 844,  153, 153, 153
L -987, -1404, 844,  -1017, -1401, 948,  153, 153, 153
L -1017, -1401, 948,  -1067, -1396, 834,  153, 153, 153
L -1067, -1396, 834,  -1108, -1396, 732,  153, 153, 153
L -1108, -1396, 732,  -1143, -1395, 665,  153, 153, 153
L -1143, -1395, 665,  -1183, -1390, 807,  153, 153, 153
L -1183, -1390, 807,  -1195, -1389, 918,  153, 153, 153
L -1195, -1389, 918,  -1223, -1383, 938,  153, 153, 153
L -1223, -1383, 938,  -1262, -1371, 972,  153, 153, 153
L -1262, -1371, 972,  -1286, -1352, 894,  153, 153, 153
L -1286, -1352, 894,  -1310, -1333, 874,  153, 153, 153
L -1310, -1333, 874,  -1330, -1317, 866,  153, 153, 153
L -1330, -1317, 866,  -1350, -1292, 759,  153, 153, 153
L -1350, -1292, 759,  -1350, -1292, 759,  153, 153, 153
L -1350, -1292, 759,  -1357, -1271, 681,  153, 153, 153
L -1357, -1271, 681,  -1371, -1228, 531,  153, 153, 153
L -1371, -1228, 531,  -1371, -1228, 531,  153, 153, 153
L -1371, -1228, 531,  -1378, -1207, 663,  153, 153, 153
L -1378, -1207, 663,  -1379, -1187, 1006,  153, 153, 153
L -1379, -1187, 1006,  -1379, -1150, 1001,  153, 153, 153
L -1379, -1150, 1001,  -1379, -1132, 925,  153, 153, 153
L -1379, -1132, 925,  -1377, -1111, 873,  153, 153, 153
L -1377, -1111, 873,  -1374, -1092, 973,  153, 153, 153
L -1374, -1092, 973,  -1373, -1085, 963,  153, 153, 153
L -1373, -1085, 963,  -1367, -1049, 855,  153, 153, 153
L -1367, -1049, 855,  -1364, -1033, 792,  153, 153, 153
L -1364, -1033, 792,  -1361, -1014, 972,  153, 153, 153
L -1361, -1014, 972,  -1353, -985, 1250,  153, 153, 153
L -1353, -985, 1250,  -1353, -985, 1250,  153, 153, 153
L -1353, -985, 1250,  -1337, -928, 1429,  153, 153, 153
L -1337, -928, 1429,  -1337, -928, 1429,  153, 153, 153
L -1337, -928, 1429,  -1363, -870, 1397,  153, 153, 153
L -1363, -870, 1397,  -1372, -850, 1195,  153, 153, 153
L -1372, -850, 1195,  -1388, -814, 978,  153, 153, 153
L -1388, -814, 978,  -1388, -814, 978,  153, 153, 153
L -1388, -814, 978,  -1396, -788, 870,  153, 153, 153
L -1396, -788, 870,  -1406, -755, 765,  153, 153, 153
L -1406, -755, 765,  -1413, -730, 863,  153, 153, 153
L -1413, -730, 863,  -1413, -730, 863,  153, 153, 153
L -1413, -730, 863,  -1413, -706, 800,  153, 153, 153
L -1413, -706, 800,  -1413, -675, 697,  153, 153, 153
L -1413, -675, 697,  -1415, -642, 610,  153, 153, 153
L -1415, -642, 610,  -1417, -611, 583,  153, 153, 153
L -1417, -611, 583,  -1418, -586, 631,  153, 153, 153
L -1418, -586, 631,  -1420, -557, 566,  153, 153, 153
L -1420, -557, 566,  -1403, -561, 529,  153, 153, 153
L -1403, -561, 529,  -1380, -550, 484,  153, 153, 153
L -1380, -550, 484,  -1373, -540, 488,  153, 153, 153
L -1373, -540, 488,  -1371, -534, 497,  153, 153, 153
L -1371, -534, 497,  -1374, -520, 467,  153, 153, 153
L -1374, -520, 467,  -1389, -497, 497,  153, 153, 153
L -1389, -497, 497,  -1413, -480, 825,  153, 153, 153
L -1413, -480, 825,  -1413, -477, 821,  153, 153, 153
L -1413, -477, 821,  -1411, -458, 777,  153, 153, 153
L -1411, -458, 777,  -1405, -413, 684,  153, 153, 153
