L 841, 220, -2558,  841, 220, -2558,  153, 153, 153
L 841, 220, -2558,  820, 301, -2561,  153, 153, 153
L 820, 301, -2561,  800, 361, -2561,  153, 153, 153
L 800, 361, -2561,  758, 361, -2561,  153, 153, 153
L 758, 361, -2561,  695, 341, -2559,  153, 153, 153
L 695, 341, -2559,  639, 341, -2559,  153, 153, 153
L 639, 341, -2559,  615, 299, -2559,  153, 153, 153
L 615, 299, -2559,  576, 260, -2561,  153, 153, 153
L 576, 260, -2561,  499, 261, -2504,  153, 153, 153
L 499, 261, -2504,  476, 179, -2561,  153, 153, 153
L 476, 179, -2561,  439, 144, -2611,  153, 153, 153
L 439, 144, -2611,  401, 122, -2564,  153, 153, 153
L 401, 122, -2564,  358, 141, -2561,  153, 153, 153
L 358, 141, -2561,  319, 122, -2530,  153, 153, 153
L 319, 122, -2530,  281, 141, -2559,  153, 153, 153
L 281, 141, -2559,  259, 142, -2561,  153, 153, 153
L 259, 142, -2561,  240, 161, -2560,  153, 153, 153
L 240, 161, -2560,  221, 161, -2561,  153, 153, 153
L 221, 161, -2561,  221, 217, -2561,  153, 153, 153
L 221, 217, -2561,  203, 257, -2320,  153, 153, 153
L 203, 257, -2320,  202, 319, -2303,  153, 153, 153
L 202, 319, -2303,  221, 347, -2392,  153, 153, 153
L 221, 347, -2392,  221, 357, -2419,  153, 153, 153
L 221, 357, -2419,  238, 357, -2456,  153, 153, 153
L 238, 357, -2456,  241, 377, -2503,  153, 153, 153
L 241, 377, -2503,  260, 417, -2561,  153, 153, 153
L 260, 417, -2561,  280, 437, -2558,  153, 153, 153
L 280, 437, -2558,  322, 437, -2511,  153, 153, 153
L 322, 437, -2511,  362, 455, -2274,  153, 153, 153
L 362, 455, -2274,  402, 430, -2379,  153, 153, 153
L 402, 430, -2379,  427, 393, -2484,  153, 153, 153
L 427, 393, -2484,  462, 331, -2558,  153, 153, 153
L 462, 331, -2558,  480, 316, -2561,  153, 153, 153
L 480, 316, -2561,  500, 317, -2561,  153, 153, 153
L 500, 317, -2561,  539, 337, -2561,  153, 153, 153
L 539, 337, -2561,  554, 351, -2561,  153, 153, 153
L 554, 351, -2561,  601, 378, -2518,  153, 153, 153
