L 7, -157, 34,  4, -157, 34,  255, 255, 255
L 4, -157, 34,  2, -155, 24,  255, 255, 255
L 2, -155, 24,  2, -155, 24,  255, 255, 255
L 2, -155, 24,  2, -117, 24,  255, 255, 255
L 2, -117, 24,  -35, -117, 24,  255, 255, 255
L -35, -117, 24,  -37, -115, 24,  255, 255, 255
L -37, -115, 24,  -37, -105, 24,  255, 255, 255
L -18, -157, 34,  -15, -157, 34,  255, 255, 255
L -15, -157, 34,  -13, -155, 24,  255, 255, 255
L -13, -155, 24,  -13, -135, 24,  255, 255, 255
L -13, -135, 24,  -15, -133, 24,  255, 255, 255
L -15, -133, 24,  -53, -133, 24,  255, 255, 255
L -53, -133, 24,  -53, -109, 24,  255, 255, 255
L 7, -157, 34,  7, -175, 34,  255, 255, 255
L 7, -175, 34,  13, -181, 34,  255, 255, 255
L 13, -181, 34,  24, -197, 34,  255, 255, 255
L 24, -197, 34,  28, -197, 34,  255, 255, 255
L 28, -197, 34,  38, -207, 34,  255, 255, 255
L 38, -207, 34,  49, -207, 34,  255, 255, 255
L 49, -207, 34,  68, -216, 34,  255, 255, 255
L 68, -216, 34,  79, -227, 34,  255, 255, 255
L 79, -227, 34,  97, -236, 34,  255, 255, 255
L 97, -236, 34,  97, -245, 34,  255, 255, 255
L 97, -245, 34,  127, -266, 34,  255, 255, 255
L 127, -266, 34,  137, -285, 34,  255, 255, 255
L 137, -285, 34,  133, -288, 34,  255, 255, 255
L 133, -288, 34,  115, -288, 34,  255, 255, 255
L 115, -288, 34,  106, -284, 34,  255, 255, 255
L 106, -284, 34,  103, -288, 34,  255, 255, 255
L 103, -288, 34,  85, -288, 34,  255, 255, 255
L 85, -288, 34,  79, -283, 34,  255, 255, 255
L 79, -283, 34,  73, -288, 34,  255, 255, 255
L 73, -288, 34,  55, -288, 34,  255, 255, 255
L 55, -288, 34,  49, -283, 34,  255, 255, 255
L 49, -283, 34,  43, -288, 34,  255, 255, 255
L 43, -288, 34,  25, -288, 34,  255, 255, 255
L 25, -288, 34,  18, -283, 34,  255, 255, 255
L 18, -283, 34,  13, -288, 34,  255, 255, 255
L 13, -288, 34,  13, -288, 34,  255, 255, 255
L 13, -288, 34,  7, -288, 34,  255, 255, 255
L 7, -288, 34,  8, -311, 34,  255, 255, 255
L 8, -311, 34,  13, -312, 34,  255, 255, 255
L 13, -312, 34,  20, -317, 34,  255, 255, 255
L 20, -317, 34,  25, -312, 34,  255, 255, 255
L 25, -312, 34,  43, -312, 34,  255, 255, 255
L 43, -312, 34,  49, -317, 34,  255, 255, 255
L 49, -317, 34,  55, -312, 34,  255, 255, 255
L 55, -312, 34,  73, -312, 34,  255, 255, 255
L 73, -312, 34,  79, -317, 34,  255, 255, 255
L 79, -317, 34,  85, -312, 34,  255, 255, 255
L 85, -312, 34,  103, -312, 34,  255, 255, 255
L 103, -312, 34,  109, -317, 34,  255, 255, 255
L 109, -317, 34,  115, -312, 34,  255, 255, 255
L 115, -312, 34,  133, -312, 34,  255, 255, 255
L 133, -312, 34,  137, -316, 34,  255, 255, 255
L 137, -316, 34,  147, -335, 34,  255, 255, 255
L 147, -335, 34,  137, -344, 34,  255, 255, 255
L 137, -344, 34,  158, -371, 34,  255, 255, 255
L 158, -371, 34,  197, -396, 24,  255, 255, 255
L 197, -396, 24,  222, -406, 24,  255, 255, 255
L 222, -406, 24,  232, -460, 24,  255, 255, 255
L 232, -460, 24,  217, -499, 24,  255, 255, 255
L 217, -499, 24,  198, -523, 24,  255, 255, 255
L 198, -523, 24,  159, -523, 31,  255, 255, 255
L 159, -523, 31,  141, -523, 34,  255, 255, 255
L 141, -523, 34,  141, -494, 34,  255, 255, 255
L 141, -494, 34,  120, -473, 34,  255, 255, 255
L 120, -473, 34,  88, -473, 34,  255, 255, 255
L 88, -473, 34,  67, -494, 34,  255, 255, 255
L 67, -494, 34,  67, -503, 34,  255, 255, 255
L 67, -503, 34,  11, -503, 34,  255, 255, 255
L 11, -503, 34,  9, -501, 34,  255, 255, 255
L 9, -501, 34,  6, -501, 34,  255, 255, 255
L 6, -501, 34,  6, -486, 34,  255, 255, 255
L 6, -486, 34,  11, -480, 24,  255, 255, 255
L 11, -480, 24,  6, -474, 24,  255, 255, 255
L 6, -474, 24,  6, -456, 24,  255, 255, 255
L 6, -456, 24,  11, -450, 24,  255, 255, 255
L 11, -450, 24,  6, -444, 24,  255, 255, 255
L 6, -444, 24,  6, -426, 24,  255, 255, 255
L 6, -426, 24,  11, -419, 24,  255, 255, 255
L 11, -419, 24,  6, -414, 24,  255, 255, 255
L 6, -414, 24,  6, -396, 24,  255, 255, 255
L 6, -396, 24,  11, -391, 24,  255, 255, 255
L 11, -391, 24,  6, -384, 34,  255, 255, 255
L 6, -384, 34,  6, -366, 34,  255, 255, 255
L 6, -366, 34,  11, -360, 34,  255, 255, 255
L 11, -360, 34,  4, -353, 67,  255, 255, 255
L -18, -157, 34,  -18, -176, 34,  255, 255, 255
L -18, -176, 34,  -23, -181, 34,  255, 255, 255
L -23, -181, 34,  -28, -196, 34,  255, 255, 255
L -28, -196, 34,  -38, -206, 34,  255, 255, 255
L -38, -206, 34,  -58, -216, 34,  255, 255, 255
L -58, -216, 34,  -58, -226, 34,  255, 255, 255
L -58, -226, 34,  -79, -236, 34,  255, 255, 255
