L -1023, 3371, 457,  -727, 3163, 277,  153, 153, 153
L -727, 3163, 277,  -520, 3047, 368,  153, 153, 153
L -520, 3047, 368,  -702, 2622, 277,  153, 153, 153
L -702, 2622, 277,  -891, 2324, 277,  153, 153, 153
L -891, 2324, 277,  -1039, 2274, 379,  153, 153, 153
L -1039, 2274, 379,  -1091, 2218, 607,  153, 153, 153
L -1091, 2218, 607,  -1170, 2205, 658,  153, 153, 153
L -1170, 2205, 658,  -1255, 2208, 503,  153, 153, 153
L -1255, 2208, 503,  -1467, 2043, 299,  153, 153, 153
L -1467, 2043, 299,  -1675, 1920, 312,  153, 153, 153
L -1675, 1920, 312,  -1775, 1829, 256,  153, 153, 153
L -1775, 1829, 256,  -1805, 1618, 222,  153, 153, 153
L -1805, 1618, 222,  -1711, 1592, 257,  153, 153, 153
L -1711, 1592, 257,  -1706, 1348, -130,  153, 153, 153
L -1706, 1348, -130,  -1611, 1293, 186,  153, 153, 153
L -1611, 1293, 186,  -1521, 1294, 451,  153, 153, 153
L -1521, 1294, 451,  -1333, 1293, 513,  153, 153, 153
L -1333, 1293, 513,  -1225, 1293, 466,  153, 153, 153
L -1225, 1293, 466,  -1089, 1293, 262,  153, 153, 153
L -1089, 1293, 262,  -944, 1296, 226,  153, 153, 153
L -944, 1296, 226,  -850, 1315, 228,  153, 153, 153
L -850, 1315, 228,  -725, 1382, 199,  153, 153, 153
L -725, 1382, 199,  -618, 1476, 258,  153, 153, 153
L -618, 1476, 258,  -597, 1561, 314,  153, 153, 153
L -597, 1561, 314,  -445, 1667, 333,  153, 153, 153
L -445, 1667, 333,  -194, 1692, 199,  153, 153, 153
L -124, 1692, 176,  -8, 1700, 21,  153, 153, 153
L -8, 1700, 21,  94, 1790, 281,  153, 153, 153
L 94, 1790, 281,  395, 1799, 292,  153, 153, 153
L 395, 1799, 292,  676, 2073, 277,  153, 153, 153
L 676, 2073, 277,  706, 2170, 317,  153, 153, 153
L 706, 2170, 317,  776, 2198, 292,  153, 153, 153
L 776, 2198, 292,  891, 2195, 393,  153, 153, 153
L 891, 2195, 393,  898, 2099, 277,  153, 153, 153
L 898, 2099, 277,  1183, 2098, 566,  153, 153, 153
L 1183, 2098, 566,  1276, 2095, 1018,  153, 153, 153
L 1276, 2095, 1018,  1686, 2097, 1140,  153, 153, 153
L 1686, 2097, 1140,  1814, 2102, 284,  153, 153, 153
L 1814, 2102, 284,  1898, 2193, 483,  153, 153, 153
L 1898, 2193, 483,  1985, 2279, 313,  153, 153, 153
L 1985, 2279, 313,  2003, 2451, 271,  153, 153, 153
L 2003, 2451, 271,  1905, 2504, 273,  153, 153, 153
L 1905, 2504, 273,  1906, 2597, 174,  153, 153, 153
L 1906, 2597, 174,  1800, 2611, 680,  153, 153, 153
L 1800, 2611, 680,  1807, 2698, 234,  153, 153, 153
L 1807, 2698, 234,  1609, 2703, 283,  153, 153, 153
L 1609, 2703, 283,  1411, 2903, 305,  153, 153, 153
L 1411, 2903, 305,  1405, 3020, 277,  153, 153, 153
L 1401, 3068, 340,  1401, 3298, 761,  153, 153, 153
L 1401, 3298, 761,  1483, 3374, 365,  153, 153, 153
L 1483, 3374, 365,  1699, 3587, 418,  153, 153, 153
L 1699, 3587, 418,  2186, 3596, 300,  153, 153, 153
L 2186, 3596, 300,  2275, 3490, 391,  153, 153, 153
L 2275, 3490, 391,  2290, 3324, 261,  153, 153, 153
L 2290, 3324, 261,  2456, 3196, 277,  153, 153, 153
L 2456, 3196, 277,  3091, 3197, 277,  153, 153, 153
L 3091, 3197, 277,  3093, 3115, 277,  153, 153, 153
L 3093, 3115, 277,  3183, 3095, 277,  153, 153, 153
L 3183, 3095, 277,  3197, 2811, 385,  153, 153, 153
L 3197, 2811, 385,  3104, 2707, 804,  153, 153, 153
L 3104, 2707, 804,  3015, 2707, 362,  153, 153, 153
L 3015, 2707, 362,  2849, 2549, 132,  153, 153, 153
L 2849, 2549, 132,  2815, 2384, 323,  153, 153, 153
L 2815, 2384, 323,  2886, 2220, 33,  153, 153, 153
L 2886, 2220, 33,  2995, 2088, -59,  153, 153, 153
