P -15.7597, 655.7540, -18.8005,  0, 127, 0,  3,  to_Lake_Rathetear
P -147.2484, 1018.5823, 46.7939,  0, 127, 0,  3,  to_PoK
P 0, 1500., 0,  0, 0, 0,  1,  Map_by_Goodurden
L -3.5131, 1101.9607, 46.9031,  -220.5124, 1080.5831, 46.9042,  0, 0, 0
L -220.5124, 1080.5831, 46.9042,  -429.1683, 1017.2739, 46.9035,  0, 0, 0
L -429.1683, 1017.2739, 46.9035,  -621.4881, 914.4859, 48.5094,  0, 0, 0
L -621.4881, 914.4859, 48.5094,  -790.0025, 776.5612, 49.1954,  0, 0, 0
L -790.0025, 776.5612, 49.1954,  -928.3345, 609.9535, 48.7828,  0, 0, 0
L -928.3345, 609.9535, 48.7828,  -1031.1351, 417.6292, 49.0590,  0, 0, 0
L -1031.1351, 417.6292, 49.0590,  -1094.4235, 208.9879, 49.2336,  0, 0, 0
L -1094.4235, 208.9879, 49.2336,  -1115.7963, -8.0036, 48.6170,  0, 0, 0
L -1115.7963, -8.0036, 48.6170,  -1094.4196, -225.0328, 48.7337,  0, 0, 0
L -1094.4196, -225.0328, 48.7337,  -1031.1307, -433.6736, 48.7863,  0, 0, 0
L -1031.1307, -433.6736, 48.7863,  -928.5038, -625.6807, 48.7761,  0, 0, 0
L -928.5038, -625.6807, 48.7761,  -789.2024, -796.6046, 49.5547,  0, 0, 0
L -789.2024, -796.6046, 49.5547,  -620.5037, -934.5566, 49.5891,  0, 0, 0
L -620.5037, -934.5566, 49.5891,  -428.3597, -1035.1128, 48.0586,  0, 0, 0
L -428.3597, -1035.1128, 48.0586,  -220.5299, -1096.0315, 48.3510,  0, 0, 0
L -220.5299, -1096.0315, 48.3510,  -3.4751, -1117.4070, 48.0336,  0, 0, 0
L -3.4751, -1117.4070, 48.0336,  213.6950, -1095.9777, 47.8716,  0, 0, 0
L 213.6950, -1095.9777, 47.8716,  422.8086, -1035.3243, 48.0914,  0, 0, 0
L 422.8086, -1035.3243, 48.0914,  614.4504, -932.8663, 49.2212,  0, 0, 0
L 614.4504, -932.8663, 49.2212,  782.7487, -794.7476, 49.2376,  0, 0, 0
L 782.7487, -794.7476, 49.2376,  921.3378, -625.9720, 48.7750,  0, 0, 0
L 921.3378, -625.9720, 48.7750,  1024.1261, -433.6567, 48.7853,  0, 0, 0
L 1024.1261, -433.6567, 48.7853,  1087.4148, -225.0135, 48.7340,  0, 0, 0
L 1087.4148, -225.0135, 48.7340,  1108.7856, -8.0000, 48.6169,  0, 0, 0
L 1108.7856, -8.0000, 48.6169,  1087.4153, 208.9713, 49.2329,  0, 0, 0
L 1087.4153, 208.9713, 49.2329,  1024.1243, 417.6345, 49.0600,  0, 0, 0
L 1024.1243, 417.6345, 49.0600,  921.3418, 609.9295, 48.7855,  0, 0, 0
L 921.3418, 609.9295, 48.7855,  783.0044, 776.5367, 49.1896,  0, 0, 0
L 783.0044, 776.5367, 49.1896,  614.4581, 914.4994, 48.5109,  0, 0, 0
L 614.4581, 914.4994, 48.5109,  422.1394, 1017.2848, 46.9032,  0, 0, 0
L 422.1394, 1017.2848, 46.9032,  213.4702, 1080.5908, 46.9032,  0, 0, 0
L 213.4702, 1080.5908, 46.9032,  -3.5131, 1101.9607, 46.9034,  0, 0, 0
L -114.8757, 781.8018, 46.9115,  -101.0457, 783.2548, 46.9092,  0, 0, 0
L -101.0457, 783.2548, 46.9085,  -100.1479, 773.0263, 46.9089,  0, 0, 0
L -100.1479, 773.0263, 46.9101,  -113.7372, 771.5381, 46.9097,  0, 0, 0
L -103.3650, 772.6740, 46.9097,  -96.3250, 684.7890, 46.8769,  0, 0, 0
L -51.4449, 672.7723, 46.8769,  -3.6945, 677.4764, 46.8722,  0, 0, 0
L -3.6945, 677.4764, 46.8722,  130.3703, 664.2857, 46.8722,  0, 0, 0
L 130.3703, 664.2857, 46.8722,  259.0085, 625.2159, 46.8722,  0, 0, 0
L 259.0085, 625.2159, 46.8722,  377.8224, 561.6597, 46.8723,  0, 0, 0
L 377.8224, 561.6597, 46.8723,  481.9049, 476.1735, 46.8723,  0, 0, 0
L 481.9049, 476.1735, 46.8723,  566.7661, 372.6613, 46.8723,  0, 0, 0
L 566.7661, 372.6613, 46.8723,  630.1266, 254.1226, 46.8723,  0, 0, 0
L 630.1266, 254.1226, 46.8723,  669.3869, 124.8253, 46.8747,  0, 0, 0
L 669.3869, 124.8253, 46.8747,  682.4385, -8.5248, 46.8722,  0, 0, 0
L 682.4385, -8.5248, 46.8722,  669.2899, -142.2593, 46.8723,  0, 0, 0
L 669.2899, -142.2593, 46.8723,  630.1808, -271.1494, 46.8723,  0, 0, 0
L 630.1808, -271.1494, 46.8723,  565.8100, -389.8424, 46.8722,  0, 0, 0
L 565.8100, -389.8424, 46.8722,  480.6780, -493.6536, 46.8737,  0, 0, 0
L 480.6780, -493.6536, 46.8737,  376.8300, -579.0384, 46.8745,  0, 0, 0
L 376.8300, -579.0384, 46.8745,  258.1201, -643.0907, 46.8739,  0, 0, 0
L 258.1201, -643.0907, 46.8739,  128.6708, -681.3408, 46.8763,  0, 0, 0
L 128.6708, -681.3408, 46.8763,  68.5703, -687.3237, 47.1554,  0, 0, 0
L 80.1795, -686.1681, 47.1554,  81.2452, -697.8303, 47.1571,  0, 0, 0
L 84.4353, -697.6633, 47.1381,  85.3668, -708.2421, 47.1422,  0, 0, 0
L 85.3668, -708.2421, 47.1676,  70.3966, -709.6019, 47.1995,  0, 0, 0
L 70.3966, -709.6019, 47.2127,  68.5703, -687.3237, 47.2125,  0, 0, 0
L 69.4820, -698.4463, 47.1565,  84.4353, -697.6633, 47.1485,  0, 0, 0
L 69.5384, -687.2273, 47.1482,  67.4691, -602.7535, 27.4722,  0, 0, 0
L 67.4691, -602.7535, 27.4722,  8.6999, -602.7280, 12.0957,  0, 0, 0
L 8.6999, -602.7280, 11.7612,  8.7432, -576.6163, 11.7666,  0, 0, 0
L 21.2223, -576.6105, 11.7666,  7.4055, -576.6169, 11.7666,  0, 0, 0
L 7.8658, -552.2783, 14.3570,  7.4055, -576.6169, 11.8923,  0, 0, 0
L 7.8658, -552.2783, 14.3571,  21.1738, -552.2938, 14.3571,  0, 0, 0
L 21.1738, -552.2938, 14.3568,  21.2223, -576.6105, 14.3565,  0, 0, 0
L -20.5105, -576.4819, 14.3569,  -20.3609, -552.2912, 14.3570,  0, 0, 0
L -20.3609, -552.2912, 14.3571,  -6.7655, -552.2870, 14.3571,  0, 0, 0
L -6.7655, -552.2870, 14.3570,  -6.9174, -576.6090, 12.0551,  0, 0, 0
L -6.9174, -576.6090, 11.7818,  -20.5105, -576.4819, 11.7818,  0, 0, 0
L -7.5871, -619.6279, 11.8845,  -7.7225, -576.6014, 11.7625,  0, 0, 0
L -7.5863, -619.6279, 11.8845,  49.8114, -619.2986, 16.9883,  0, 0, 0
L 49.8114, -619.2986, 28.9860,  55.6863, -688.2772, 47.1482,  0, 0, 0
L 56.9205, -688.1456, 47.4196,  58.5475, -710.9661, 47.2235,  0, 0, 0
