L 98.9505, 28.3839, 0.1582, 112.3187, 15.1577, 0.1582, 0, 0, 0
L 112.3187, 15.1577, 0.1582, 125.552, 14.9802, 0.1582, 0, 0, 0
L 125.552, 14.9802, 0.1582, 138.9709, 28.5015, 0.1582, 0, 0, 0
L 138.9709, 28.5015, 0.1582, 138.9632, 41.3763, 0.1582, 0, 0, 0
L 138.9632, 41.3763, 0.1582, 111.2047, 55.2708, 0.1582, 0, 0, 0
L 111.2047, 55.2708, 0.1582, 111.2047, 55.2708, 0.1559, 0, 0, 0
L 111.2047, 55.2708, 0.1559, 96.6085, 69.9762, 0.1582, 0, 0, 0
L 98.936, 42.9401, 0.3845, 98.9346, 28.4298, 0.1582, 0, 0, 0
L 98.936, 42.9401, 4.1801, 95.6944, 42.9365, 5.854, 0, 0, 0
L 83.2596, 56.9348, 0.1582, 55.3725, 56.9354, 0.1582, 0, 0, 0
L 83.2596, 56.9348, 0.149, 86.4937, 57.6886, 0.1582, 0, 0, 0
L 86.4937, 57.6886, 0.1582, 93.1679, 56.1696, 2.8788, 0, 0, 0
L 93.1679, 56.1696, 2.8788, 95.3276, 54.3761, 3.6038, 0, 0, 0
L 95.3276, 54.3761, 3.6038, 96.4805, 51.3937, 4.2812, 0, 0, 0
L 96.4805, 51.3937, 4.2812, 95.6944, 42.9365, 3.8048, 0, 0, 0
L 55.3725, 56.9354, 0.1582, 40.7924, 27.8096, 0.1582, 0, 0, 0
L 40.7924, 27.8096, -1.8418, 54.6017, 14.5, -1.8418, 0, 0, 0
L 54.6017, 14.5, -1.8418, 41.5829, 0.98, -1.8418, 0, 0, 0
L 41.5829, 0.98, -1.8418, 27.585, 0.9545, -1.8418, 0, 0, 0
L 29.2367, 27.6447, 0.1592, 28.9659, 55.5343, 0.1582, 0, 0, 0
L 28.9659, 55.5343, 0.1582, 42.3753, 69.2699, 0.1582, 0, 0, 0
L 42.3753, 69.2699, 0.1582, 85.3262, 69.1898, 0.1582, 0, 0, 0
L 29.2367, 27.6447, -1.8415, 14.391, 13.3407, -0.9384, 0, 0, 0
