P 277.0845, -314.7926, 0.0010,  0, 0, 0,  3,  Sheerie_(Berserker_Tomes)
P 255.0891, -287.3335, 0.0010,  0, 0, 127,  3,  Baddi_(GM_Berserker)
L -392.4688, 216.5313, 10.6260,  -392.4688, 216.5313, 10.6260,  0, 0, 0
L -366.9211, 216.4511, 10.6260,  -392.4688, 216.5313, 10.6260,  127, 127, 127
L -366.4688, 242.5313, 10.6260,  -366.9211, 216.4511, 10.6260,  127, 127, 127
L -338.5000, 236.7509, 4.6260,  -332.5000, 243.2812, 0.6260,  127, 127, 127
L -341.5000, 236.5313, 6.6260,  -338.5000, 236.7509, 4.6260,  127, 127, 127
L -386.6884, 188.5625, 4.6260,  -392.5315, 182.4876, 0.6257,  127, 127, 127
L -392.4688, 198.0208, 10.6260,  -392.0707, 197.4299, 10.6260,  0, 0, 0
L -390.7177, 195.4217, 10.6260,  -392.4688, 198.0208, 10.6260,  127, 127, 127
L -386.4688, 191.5625, 6.6260,  -390.7177, 195.4217, 10.6260,  127, 127, 127
L -386.6884, 188.5625, 4.6260,  -386.4688, 191.5625, 6.6260,  127, 127, 127
L -344.5874, 195.7495, 9.7719,  -346.5544, 193.7884, 8.6260,  127, 127, 127
L -338.3193, 197.8830, 4.6260,  -332.5000, 192.0934, 2.6260,  127, 127, 127
L -344.5000, 195.8356, 8.6260,  -341.5000, 198.2812, 6.6260,  127, 127, 127
L -345.7792, 194.5625, 8.6260,  -348.2493, 191.5625, 6.6260,  127, 127, 127
L -345.0298, 185.5625, 2.6260,  -347.8603, 188.3931, 4.6260,  127, 127, 127
L -348.2500, 191.5625, 6.6260,  -347.8603, 188.3931, 4.6260,  127, 127, 127
L -345.0300, 185.5625, 2.6260,  -342.2650, 182.7971, 2.5384,  127, 127, 127
L -341.5000, 198.2809, 6.6260,  -338.3193, 197.8830, 4.6260,  127, 127, 127
L -251.2812, 257.5313, 22.7453,  -330.0658, 257.6005, 0.6260,  0, 127, 0
L -251.2812, 195.3125, 22.7453,  -329.5000, 194.9825, 0.7376,  0, 127, 0
L -251.2812, 257.5313, 22.7453,  -251.2812, 195.3125, 22.7453,  0, 127, 0
L 89.5363, 112.2553, -31.2283,  72.1986, 112.2976, -31.2868,  127, 64, 0
L 72.2700, 112.1956, -31.1702,  72.3924, 106.1636, -30.3740,  127, 64, 0
L 72.3089, 131.5626, -26.4611,  89.6048, 131.5624, -26.4624,  127, 64, 0
L 89.9788, 149.5682, -11.4045,  72.1952, 149.5098, -11.4443,  127, 64, 0
L -1067.7402, -332.5000, 76.5947,  -1040.9564, -299.7263, 76.5947,  0, 0, 0
L -1091.3846, -332.5000, 76.5947,  -1067.7402, -332.5000, 76.5947,  0, 0, 0
L -1118.1875, -299.7410, 76.5947,  -1091.3846, -332.5000, 76.5947,  0, 0, 0
