L 969.2819, 577.9281, -56.3226,  967.0361, 585.3549, -68.3635,  0, 0, 0
L 951.8964, 635.2574, -81.4046,  969.2819, 577.9281, -56.3226,  0, 0, 0
L 927.3961, 651.8687, -87.6068,  951.8964, 635.2574, -81.4046,  0, 0, 0
L 856.1462, 665.0812, -78.7650,  927.3961, 651.8687, -87.6068,  0, 0, 0
L 841.1046, 669.4033, -78.8516,  856.1462, 665.0812, -78.7650,  0, 0, 0
L 820.1351, 684.5959, -81.4644,  841.1046, 669.4033, -78.8516,  0, 0, 0
L 806.1603, 699.4977, -73.5634,  820.1351, 684.5959, -81.4644,  0, 0, 0
L 761.9457, 710.8055, -79.8011,  806.1603, 699.4977, -73.5634,  0, 0, 0
L 747.5040, 711.4324, -77.7438,  761.9457, 710.8055, -79.8011,  0, 0, 0
L 734.2994, 737.4730, -80.7665,  747.5040, 711.4324, -77.7438,  0, 0, 0
L 730.2041, 760.3884, -79.3315,  734.2994, 737.4730, -80.7665,  0, 0, 0
L 720.3376, 774.2316, -81.5836,  730.2041, 760.3884, -79.3315,  0, 0, 0
L 700.1931, 768.8768, -82.2321,  720.3376, 774.2316, -81.5836,  0, 0, 0
L 689.4332, 771.7072, -76.8956,  700.1931, 768.8768, -82.2321,  0, 0, 0
L 688.9378, 780.8270, -77.1756,  689.4332, 771.7072, -76.8956,  0, 0, 0
L 677.8774, 805.7701, -81.2206,  688.9378, 780.8270, -77.1756,  0, 0, 0
L 685.3427, 811.0826, -85.8204,  677.8774, 805.7701, -81.2206,  0, 0, 0
L 677.7339, 858.2111, -81.2583,  685.3427, 811.0826, -85.8204,  0, 0, 0
L 648.0098, 852.1604, -81.0975,  677.7339, 858.2111, -81.2583,  0, 0, 0
L 632.1115, 848.9731, -79.3346,  648.0098, 852.1604, -81.0975,  0, 0, 0
L 638.0178, 804.0469, -80.4533,  632.1115, 848.9731, -79.3346,  0, 0, 0
L 655.6918, 798.1055, -86.6998,  638.0178, 804.0469, -80.4533,  0, 0, 0
L 664.8969, 763.0269, -76.9170,  655.6918, 798.1055, -86.6998,  0, 0, 0
